customer_id,segment,country,city,first_order_date
1,Education,Jordan,Kirkuk,2024-11-21
2,Retail,UAE,Duhok,2023-08-27
3,Education,Iraq,Sulaymaniyah,2024-05-19
4,Public Sector,Jordan,Baghdad,2025-10-02
5,Enterprise,UAE,Erbil,2025-01-03
6,SMB,UAE,Basra,2023-07-22
7,Education,Iraq,Basra,2024-10-18
8,Education,UAE,Kirkuk,2024-02-16
9,Public Sector,Turkey,Baghdad,2025-07-06
10,Enterprise,Turkey,Basra,2025-05-23
11,Retail,UAE,Duhok,2023-06-18
12,Retail,Iraq,Duhok,2023-08-02
13,Public Sector,UAE,Kirkuk,2025-03-07
14,Public Sector,UAE,Sulaymaniyah,2023-04-23
15,Education,Iraq,Baghdad,2023-07-02
16,Public Sector,Jordan,Basra,2024-10-04
17,SMB,Iraq,Erbil,2024-09-12
18,Retail,Jordan,Sulaymaniyah,2023-04-18
19,Retail,Jordan,Kirkuk,2025-01-29
20,SMB,Jordan,Erbil,2025-07-25
21,Enterprise,Jordan,Basra,2024-10-17
22,SMB,Jordan,Duhok,2024-02-28
23,Education,Iraq,Erbil,2025-02-20
24,Enterprise,Iraq,Sulaymaniyah,2023-01-10
25,Enterprise,Turkey,Baghdad,2025-03-09
26,Enterprise,Turkey,Duhok,2023-04-02
27,Enterprise,Jordan,Kirkuk,2024-05-19
28,Education,Turkey,Duhok,2024-09-26
29,Enterprise,Turkey,Duhok,2023-01-21
30,Retail,UAE,Duhok,2024-07-23
31,Enterprise,UAE,Sulaymaniyah,2023-01-22
32,Retail,Iraq,Basra,2025-07-08
33,Enterprise,Jordan,Erbil,2023-08-23
34,SMB,Jordan,Duhok,2023-05-17
35,Enterprise,Turkey,Baghdad,2024-06-09
36,Retail,Turkey,Kirkuk,2024-08-09
37,Public Sector,Turkey,Erbil,2023-09-02
38,Retail,Jordan,Erbil,2025-10-16
39,Enterprise,Jordan,Kirkuk,2023-03-15
40,Retail,UAE,Erbil,2023-08-17
41,Enterprise,Iraq,Duhok,2024-01-13
42,SMB,Iraq,Baghdad,2025-06-11
43,Education,Turkey,Duhok,2023-10-20
44,Retail,Iraq,Basra,2025-10-28
45,Enterprise,Jordan,Basra,2024-10-13
46,SMB,Iraq,Baghdad,2024-11-30
47,Public Sector,Jordan,Sulaymaniyah,2025-08-04
48,Enterprise,Iraq,Duhok,2025-02-17
49,Enterprise,Turkey,Kirkuk,2023-05-11
50,Enterprise,Jordan,Basra,2024-02-03
51,Public Sector,UAE,Erbil,2025-06-21
52,SMB,Jordan,Kirkuk,2025-12-18
53,Public Sector,Jordan,Baghdad,2024-10-12
54,SMB,Iraq,Basra,2023-05-14
55,Retail,Iraq,Kirkuk,2023-12-14
56,Public Sector,Turkey,Erbil,2023-10-21
57,SMB,Jordan,Erbil,2025-02-19
58,SMB,Iraq,Duhok,2023-09-03
59,Enterprise,Iraq,Kirkuk,2023-06-01
60,SMB,UAE,Kirkuk,2025-03-01
61,Public Sector,UAE,Duhok,2024-05-01
62,Retail,Turkey,Sulaymaniyah,2025-07-20
63,Retail,Jordan,Duhok,2025-01-07
64,Enterprise,Jordan,Sulaymaniyah,2023-12-24
65,Retail,Turkey,Baghdad,2025-01-23
66,SMB,UAE,Sulaymaniyah,2023-10-22
67,SMB,UAE,Duhok,2024-04-09
68,Retail,Jordan,Basra,2024-12-23
69,Enterprise,UAE,Duhok,2025-05-05
70,Retail,UAE,Duhok,2025-03-06
71,Retail,Turkey,Sulaymaniyah,2024-10-29
72,Retail,Jordan,Basra,2025-12-21
73,Enterprise,Jordan,Baghdad,2024-01-27
74,Education,Jordan,Basra,2025-01-14
75,Retail,UAE,Sulaymaniyah,2024-09-20
76,Enterprise,UAE,Baghdad,2025-08-21
77,SMB,UAE,Sulaymaniyah,2025-04-24
78,SMB,Jordan,Baghdad,2024-11-22
79,Education,Jordan,Basra,2025-02-26
80,Education,UAE,Baghdad,2025-06-26
81,SMB,Jordan,Duhok,2023-12-19
82,Public Sector,Jordan,Basra,2025-04-03
83,Education,Jordan,Baghdad,2025-04-22
84,Public Sector,UAE,Baghdad,2023-09-25
85,Retail,Turkey,Kirkuk,2025-12-22
86,SMB,Iraq,Erbil,2023-06-25
87,SMB,Iraq,Erbil,2024-11-09
88,SMB,Turkey,Sulaymaniyah,2024-02-20
89,Enterprise,Jordan,Sulaymaniyah,2023-05-16
90,Public Sector,Turkey,Kirkuk,2025-07-03
91,Retail,Turkey,Basra,2023-12-25
92,Public Sector,Turkey,Erbil,2023-11-24
93,Enterprise,Jordan,Duhok,2023-08-31
94,Education,UAE,Baghdad,2025-08-19
95,Public Sector,Jordan,Erbil,2023-10-28
96,Retail,Iraq,Erbil,2023-10-05
97,Retail,UAE,Duhok,2025-09-03
98,Enterprise,Iraq,Kirkuk,2025-01-12
99,Retail,Jordan,Duhok,2023-02-10
100,Retail,Turkey,Sulaymaniyah,2023-06-24
101,Public Sector,Iraq,Baghdad,2023-10-04
102,Education,Turkey,Basra,2025-03-17
103,Enterprise,Iraq,Basra,2024-02-08
104,Public Sector,Turkey,Basra,2023-06-20
105,Public Sector,UAE,Erbil,2025-05-05
106,Enterprise,Turkey,Sulaymaniyah,2024-01-29
107,Education,Turkey,Kirkuk,2023-02-18
108,Retail,Turkey,Baghdad,2023-04-17
109,Enterprise,Turkey,Sulaymaniyah,2025-07-08
110,Retail,Turkey,Erbil,2024-07-12
111,Retail,Iraq,Sulaymaniyah,2023-03-06
112,Enterprise,Iraq,Basra,2023-02-09
113,Public Sector,UAE,Baghdad,2025-08-20
114,Retail,UAE,Erbil,2024-07-07
115,Retail,Turkey,Sulaymaniyah,2025-11-15
116,Retail,UAE,Basra,2024-12-01
117,Enterprise,Turkey,Basra,2024-06-19
118,Education,Jordan,Duhok,2024-07-30
119,Public Sector,Iraq,Duhok,2023-06-23
120,Public Sector,Iraq,Erbil,2023-09-21
121,SMB,Jordan,Erbil,2023-12-29
122,Public Sector,Iraq,Baghdad,2024-04-30
123,SMB,Iraq,Erbil,2023-01-28
124,Public Sector,Iraq,Baghdad,2025-08-01
125,Public Sector,Iraq,Kirkuk,2023-09-07
126,SMB,Jordan,Baghdad,2023-06-16
127,Enterprise,Iraq,Basra,2023-07-07
128,SMB,UAE,Basra,2024-04-22
129,Enterprise,Iraq,Basra,2023-06-12
130,Retail,Turkey,Basra,2025-12-20
131,Enterprise,UAE,Baghdad,2025-10-11
132,Education,Jordan,Duhok,2024-08-12
133,Education,Iraq,Duhok,2024-01-14
134,Education,Iraq,Erbil,2023-12-27
135,Enterprise,Turkey,Baghdad,2024-01-23
136,SMB,Iraq,Baghdad,2024-01-19
137,Public Sector,Jordan,Baghdad,2025-03-19
138,Education,Turkey,Kirkuk,2025-04-24
139,Education,Turkey,Baghdad,2025-05-23
140,Public Sector,Turkey,Basra,2024-05-08
141,Education,Iraq,Basra,2024-05-30
142,Public Sector,Jordan,Erbil,2023-05-07
143,SMB,UAE,Sulaymaniyah,2023-05-04
144,Education,UAE,Erbil,2025-07-02
145,SMB,Iraq,Sulaymaniyah,2025-01-10
146,Education,Iraq,Kirkuk,2024-06-21
147,Public Sector,UAE,Sulaymaniyah,2025-09-10
148,Public Sector,UAE,Sulaymaniyah,2025-09-28
149,Public Sector,Jordan,Baghdad,2023-12-16
150,SMB,Turkey,Duhok,2025-08-10
151,Retail,Turkey,Duhok,2025-08-07
152,Retail,UAE,Baghdad,2023-10-18
153,Retail,UAE,Erbil,2023-10-13
154,Public Sector,UAE,Basra,2023-11-02
155,Retail,Turkey,Erbil,2025-06-08
156,Enterprise,Jordan,Kirkuk,2024-01-12
157,Enterprise,Iraq,Erbil,2025-03-12
158,Retail,Jordan,Sulaymaniyah,2024-11-21
159,Enterprise,Iraq,Duhok,2025-03-14
160,Enterprise,Turkey,Kirkuk,2024-07-22
161,Enterprise,Jordan,Duhok,2025-10-19
162,Retail,UAE,Baghdad,2025-09-25
163,SMB,Turkey,Erbil,2023-05-18
164,Public Sector,UAE,Kirkuk,2024-08-15
165,Enterprise,Jordan,Kirkuk,2025-10-09
166,Enterprise,UAE,Duhok,2023-01-27
167,Public Sector,Jordan,Sulaymaniyah,2024-09-28
168,Education,UAE,Kirkuk,2023-09-07
169,Education,Jordan,Kirkuk,2024-07-31
170,Public Sector,Turkey,Basra,2023-09-20
171,Public Sector,UAE,Erbil,2023-02-06
172,Retail,Turkey,Duhok,2024-05-19
173,Enterprise,Turkey,Basra,2024-04-23
174,Public Sector,UAE,Sulaymaniyah,2024-11-28
175,Education,Turkey,Basra,2024-02-03
176,Enterprise,Turkey,Basra,2024-04-13
177,Education,Jordan,Baghdad,2025-09-27
178,Education,UAE,Erbil,2024-10-03
179,Education,Iraq,Duhok,2023-10-31
180,Education,Turkey,Erbil,2025-12-19
181,Retail,UAE,Kirkuk,2024-06-28
182,SMB,UAE,Duhok,2024-01-31
183,Public Sector,Jordan,Sulaymaniyah,2023-05-01
184,Retail,Jordan,Baghdad,2023-01-07
185,Public Sector,Turkey,Kirkuk,2025-09-15
186,Education,Jordan,Sulaymaniyah,2024-10-17
