employee_id,branch_id,department,role,hire_date,base_salary
1,1,IT,Specialist,2025-02-21,2615.24
2,1,Finance,Manager,2015-10-12,2903.41
3,1,Sales,Supervisor,2020-12-14,1038.39
4,1,Operations,Senior Manager,2020-09-17,3510.18
5,1,Marketing,Specialist,2019-08-26,1438.72
6,1,Marketing,Supervisor,2016-08-03,921.54
7,1,Operations,Manager,2023-06-03,3098.78
8,1,Sales,Supervisor,2023-02-15,1684.76
9,1,IT,Supervisor,2024-07-27,2589.14
10,1,Finance,Associate,2025-04-16,533.83
11,1,HR,Supervisor,2024-04-21,661.78
12,1,Marketing,Manager,2019-11-14,840.86
13,1,Sales,Associate,2019-08-04,775.59
14,1,HR,Specialist,2021-08-12,2696.13
15,1,IT,Senior Manager,2021-10-24,2884.11
16,1,Support,Associate,2022-10-14,3595.83
17,1,Finance,Associate,2020-04-15,1939.73
18,1,Operations,Supervisor,2016-11-12,2273.96
19,1,IT,Supervisor,2015-07-09,1085.86
20,1,Sales,Manager,2016-11-07,2599.71
21,1,HR,Associate,2015-06-08,3762.55
22,1,Marketing,Senior Manager,2018-02-27,3013.28
23,1,Operations,Senior Manager,2018-04-11,3044.13
24,1,Marketing,Senior Manager,2015-05-28,3746.49
25,1,Operations,Senior Manager,2019-03-04,2664.54
26,1,Sales,Specialist,2015-06-26,3091.25
27,1,HR,Supervisor,2015-03-09,625.54
28,1,IT,Manager,2023-02-24,662.92
29,1,Support,Supervisor,2023-10-04,1964.22
30,1,Operations,Senior Manager,2015-12-26,3494.32
31,1,IT,Senior Manager,2019-08-21,3679.49
32,1,Sales,Manager,2021-07-22,811.67
33,1,IT,Manager,2016-02-11,2487.8
34,1,Sales,Specialist,2019-10-21,2410.97
35,1,IT,Supervisor,2021-10-17,1437.91
36,1,HR,Senior Manager,2021-02-26,2800.96
37,2,IT,Senior Manager,2018-07-15,3425.1
38,2,Support,Supervisor,2022-07-14,2894.2
39,2,Finance,Manager,2020-11-09,1703.91
40,2,Operations,Manager,2016-02-27,735.97
41,2,Support,Associate,2020-03-18,650.94
42,2,HR,Senior Manager,2020-11-04,1826.21
43,2,Marketing,Manager,2015-05-20,1496.7
44,2,Sales,Senior Manager,2023-04-05,2650.07
45,2,Operations,Associate,2020-09-12,834.87
46,2,Finance,Senior Manager,2018-07-28,2329.24
47,2,Marketing,Senior Manager,2024-11-21,2315.08
48,2,HR,Supervisor,2015-03-09,2804.04
49,2,Finance,Supervisor,2020-01-06,3364.04
50,2,HR,Manager,2016-03-24,2571.13
51,2,Sales,Associate,2023-04-13,1856.44
52,2,Finance,Specialist,2020-05-24,1536.68
53,2,HR,Senior Manager,2016-01-05,977.32
54,2,HR,Associate,2025-02-09,1934.43
55,2,Support,Manager,2024-08-14,1365.11
56,2,Marketing,Senior Manager,2016-06-14,821.48
57,2,IT,Senior Manager,2022-09-22,1483.2
58,2,Operations,Manager,2024-01-01,1134.82
59,2,Operations,Specialist,2019-05-11,851.95
60,2,Support,Manager,2017-03-13,2234.15
61,2,Operations,Senior Manager,2023-11-26,1636.46
62,2,Support,Associate,2021-01-15,3535.89
63,2,Marketing,Supervisor,2024-07-19,1804.82
64,2,IT,Manager,2019-02-13,519.87
65,2,Finance,Specialist,2024-08-27,2760.19
66,2,Finance,Associate,2021-02-08,1909.52
67,2,Support,Senior Manager,2016-07-28,1489.42
68,2,Finance,Specialist,2020-03-03,2160.12
69,2,Sales,Senior Manager,2023-04-25,1620.41
70,2,IT,Specialist,2018-02-05,1307.49
71,2,Operations,Senior Manager,2017-11-03,1043.44
72,2,Marketing,Manager,2022-10-25,2391.22
73,2,IT,Senior Manager,2025-11-20,1532.75
74,2,IT,Supervisor,2017-08-03,2020.89
75,2,IT,Supervisor,2019-10-02,1629.01
76,2,Sales,Supervisor,2022-08-02,640.58
77,2,Marketing,Supervisor,2016-11-28,3724.18
78,2,Sales,Senior Manager,2024-09-13,2000.08
79,2,HR,Associate,2022-10-21,1080.6
80,2,HR,Manager,2023-03-02,1959.25
81,2,Marketing,Supervisor,2016-09-21,1028.07
82,2,Operations,Manager,2022-09-17,2492.85
83,2,Finance,Supervisor,2019-07-14,3044.46
84,2,IT,Senior Manager,2015-11-21,1571.08
85,2,Finance,Associate,2023-11-13,1401.89
86,2,IT,Senior Manager,2017-06-03,2402.18
87,2,Operations,Supervisor,2019-11-23,2668.15
88,2,Operations,Senior Manager,2016-05-18,1711.88
89,2,Marketing,Supervisor,2017-11-23,3227.01
90,2,IT,Senior Manager,2016-11-22,1868.41
91,2,Finance,Associate,2020-05-06,3636.42
92,2,Finance,Manager,2018-04-05,969.07
93,2,Finance,Associate,2023-09-27,2924.46
94,2,HR,Associate,2025-06-25,2520.41
95,2,HR,Manager,2017-03-06,3235.01
96,2,Marketing,Senior Manager,2017-12-15,596.37
97,2,Finance,Specialist,2022-10-10,2970.51
98,3,Operations,Senior Manager,2018-05-26,3077.64
99,3,Marketing,Specialist,2020-11-19,3747.87
100,3,Support,Supervisor,2021-09-17,1852.51
101,3,Operations,Specialist,2024-03-28,1287.51
102,3,IT,Manager,2020-09-04,2833.19
103,3,HR,Associate,2019-02-25,987.05
104,3,Support,Senior Manager,2017-07-03,3620.48
105,3,Operations,Manager,2020-01-14,628.41
106,3,HR,Supervisor,2018-07-03,1705.96
107,3,Sales,Supervisor,2016-12-21,1573.22
108,3,Operations,Specialist,2015-05-27,2032.72
109,3,Marketing,Specialist,2022-08-20,467.59
110,3,Sales,Associate,2019-04-27,950.89
111,3,IT,Senior Manager,2023-07-04,3050.18
112,3,Operations,Supervisor,2016-01-08,1856.42
113,3,Marketing,Senior Manager,2022-02-04,3252.9
114,3,Support,Senior Manager,2023-01-21,2176.51
115,3,Operations,Specialist,2019-07-01,2509.61
116,3,Operations,Senior Manager,2021-03-22,2688.52
117,3,HR,Supervisor,2016-09-18,2149.55
118,3,HR,Senior Manager,2015-07-28,2024.95
119,3,IT,Manager,2020-05-24,504.41
120,3,Marketing,Associate,2020-04-24,2651.3
121,3,Sales,Senior Manager,2020-03-02,1630.2
122,3,Finance,Specialist,2025-08-23,2053.08
123,3,Operations,Specialist,2016-12-25,3611.08
124,3,Sales,Supervisor,2018-01-26,1118.22
125,3,Sales,Supervisor,2019-09-13,3763.56
126,3,HR,Manager,2019-01-25,2617.12
127,3,Finance,Supervisor,2015-11-11,1365.28
128,3,Marketing,Supervisor,2021-07-24,1923.12
129,3,Support,Supervisor,2017-08-23,2116.7
130,3,Marketing,Senior Manager,2019-02-24,1872.07
131,3,Support,Senior Manager,2017-09-10,1526.06
132,3,Sales,Supervisor,2025-05-10,1943.82
133,3,IT,Manager,2017-12-15,1627.68
134,3,Sales,Supervisor,2024-07-09,2592.22
135,3,Marketing,Associate,2016-11-21,1810.8
136,3,HR,Specialist,2015-03-28,2485.37
137,3,Marketing,Manager,2015-03-03,1240.58
138,3,IT,Supervisor,2020-07-19,558.49
139,3,Operations,Manager,2020-06-15,3006.33
140,3,HR,Specialist,2023-06-13,1503.19
141,3,Finance,Specialist,2016-01-24,1073.26
142,3,HR,Manager,2023-02-09,3046.13
143,3,IT,Manager,2018-10-10,2774.84
144,3,Support,Specialist,2016-03-28,698.07
145,3,Operations,Manager,2016-11-28,3755.03
146,4,Finance,Associate,2023-09-10,3435.96
147,4,Marketing,Specialist,2025-03-26,1661.0
148,4,Operations,Associate,2018-03-08,3097.75
149,4,Sales,Supervisor,2023-10-12,2015.81
150,4,HR,Specialist,2024-02-03,1486.12
151,4,IT,Manager,2023-07-25,1821.6
152,4,HR,Associate,2017-06-21,698.45
153,4,Support,Senior Manager,2020-03-27,3063.88
154,4,IT,Senior Manager,2017-03-14,2134.59
155,4,Marketing,Associate,2016-09-05,1468.82
156,4,Operations,Supervisor,2018-06-17,3448.0
157,4,Marketing,Associate,2019-04-21,3653.78
158,4,Finance,Specialist,2025-05-20,2237.15
159,4,HR,Specialist,2024-10-05,1023.52
160,4,HR,Senior Manager,2020-10-02,3214.54
161,4,Sales,Associate,2015-11-25,2382.18
162,4,IT,Specialist,2024-07-20,2590.62
163,4,Support,Senior Manager,2019-11-10,2067.87
164,4,Marketing,Manager,2019-08-03,2756.86
165,4,Operations,Manager,2021-08-15,1133.48
166,4,HR,Specialist,2020-12-11,2909.57
167,4,Marketing,Supervisor,2021-03-25,1691.31
168,4,HR,Associate,2020-04-15,860.45
169,4,Support,Specialist,2017-02-02,1422.21
170,4,Support,Senior Manager,2021-04-28,3472.74
171,4,Marketing,Supervisor,2024-12-11,1085.94
172,4,Operations,Manager,2023-08-16,3394.9
173,4,Support,Associate,2016-07-17,1981.72
174,4,Operations,Specialist,2024-06-02,619.31
175,4,Support,Senior Manager,2025-11-16,1407.26
176,4,Sales,Associate,2021-03-09,2887.15
177,4,Marketing,Manager,2020-01-13,621.38
178,4,HR,Specialist,2020-09-10,696.33
179,4,HR,Manager,2023-05-27,3763.45
180,4,IT,Senior Manager,2016-03-04,1769.58
181,4,Marketing,Supervisor,2023-06-25,933.3
182,4,HR,Senior Manager,2021-09-02,601.77
183,4,Operations,Supervisor,2022-09-15,948.95
184,4,HR,Specialist,2020-10-11,994.38
185,4,HR,Supervisor,2024-06-17,3224.77
186,4,HR,Manager,2024-05-16,3182.76
187,4,Finance,Supervisor,2025-02-14,2405.4
188,4,Marketing,Associate,2024-08-09,3689.69
189,4,Marketing,Senior Manager,2024-04-24,622.04
190,4,Support,Specialist,2023-11-24,2526.11
191,4,Marketing,Manager,2017-11-08,555.76
192,4,IT,Associate,2018-01-15,1500.87
193,4,Operations,Manager,2018-07-17,3046.16
194,4,Support,Associate,2017-09-07,2328.97
195,4,IT,Manager,2023-07-11,3654.9
196,4,Support,Senior Manager,2020-09-12,2714.16
197,4,Marketing,Supervisor,2024-08-07,3657.08
198,4,Finance,Senior Manager,2019-04-10,3033.43
199,4,IT,Specialist,2022-06-16,1618.49
200,4,Marketing,Supervisor,2019-02-19,2716.68
201,4,Support,Manager,2020-03-10,590.92
202,4,IT,Associate,2020-08-21,1309.09
203,4,Support,Specialist,2018-09-09,3575.63
204,4,IT,Supervisor,2017-02-20,2931.98
205,4,Operations,Specialist,2015-11-17,1206.0
206,4,Operations,Associate,2016-07-11,2853.15
207,4,Sales,Specialist,2015-09-06,1813.14
208,5,Support,Specialist,2019-06-10,2613.76
209,5,Marketing,Associate,2025-10-08,2242.76
210,5,IT,Associate,2017-07-27,1038.89
211,5,Sales,Manager,2022-03-24,3673.14
212,5,Finance,Associate,2015-05-19,2469.32
213,5,Finance,Supervisor,2022-11-18,2206.47
214,5,Operations,Senior Manager,2022-05-07,3159.53
215,5,Finance,Specialist,2022-11-09,2857.3
216,5,Sales,Supervisor,2019-10-22,2986.9
217,5,Operations,Senior Manager,2025-07-27,1882.81
218,5,Finance,Associate,2021-11-04,1069.02
219,5,Operations,Manager,2020-04-01,1323.63
220,5,Operations,Manager,2019-06-10,2401.24
221,5,HR,Associate,2019-11-12,2770.77
222,5,Sales,Associate,2022-05-06,1808.15
223,5,HR,Supervisor,2016-11-10,1681.27
224,5,Operations,Specialist,2017-08-05,1974.18
225,5,HR,Supervisor,2021-12-18,3507.87
226,5,Marketing,Senior Manager,2025-04-25,1279.01
227,5,Marketing,Senior Manager,2016-09-15,2219.38
228,5,Finance,Associate,2024-02-02,3226.39
229,5,HR,Specialist,2024-09-05,1001.2
230,5,Marketing,Senior Manager,2022-02-22,1138.09
231,5,HR,Manager,2016-09-15,3159.12
232,5,Support,Specialist,2023-07-15,2339.1
233,5,HR,Manager,2025-05-24,522.93
234,5,Finance,Associate,2018-10-03,601.72
235,5,Finance,Associate,2023-01-03,3753.56
236,5,Support,Associate,2019-07-06,3026.06
237,5,Marketing,Manager,2020-07-15,3363.23
238,5,Support,Manager,2016-11-22,3379.75
239,5,Operations,Supervisor,2016-03-18,1766.75
240,5,Operations,Specialist,2015-01-10,2001.06
241,5,IT,Senior Manager,2021-09-13,3208.26
242,5,Operations,Manager,2020-03-09,1081.41
243,5,IT,Associate,2015-11-14,2509.99
244,5,Sales,Specialist,2018-02-04,2439.71
245,5,Support,Senior Manager,2025-12-28,613.07
246,5,IT,Associate,2021-08-08,2258.2
247,5,Marketing,Associate,2017-09-10,1234.44
248,5,IT,Senior Manager,2020-10-20,3038.0
249,5,Marketing,Supervisor,2018-05-05,3752.08
250,5,HR,Specialist,2021-05-09,654.21
251,5,HR,Specialist,2025-11-14,2312.1
252,5,Sales,Supervisor,2025-11-13,3082.45
253,5,Finance,Manager,2021-03-10,1711.14
254,5,Marketing,Senior Manager,2022-04-28,1204.9
255,5,Marketing,Specialist,2022-01-18,1832.47
256,5,Support,Senior Manager,2023-03-13,1263.58
257,5,Operations,Supervisor,2025-02-15,3287.9
258,6,HR,Specialist,2015-05-13,2706.8
259,6,HR,Associate,2016-04-26,3001.68
260,6,IT,Senior Manager,2018-08-07,3362.74
261,6,Finance,Supervisor,2015-04-07,3672.96
262,6,Sales,Manager,2018-12-20,2807.62
263,6,Support,Specialist,2023-06-25,1398.25
264,6,Support,Senior Manager,2025-06-10,1326.23
265,6,HR,Manager,2022-02-26,3737.42
266,6,Support,Supervisor,2018-06-11,1836.67
267,6,HR,Specialist,2017-01-09,2303.59
268,6,HR,Senior Manager,2021-05-05,1107.24
269,6,Operations,Manager,2024-04-16,2294.65
270,6,IT,Supervisor,2019-08-24,2599.68
271,6,Support,Manager,2017-12-26,1629.79
272,6,Operations,Senior Manager,2022-03-18,3767.58
273,6,Sales,Senior Manager,2015-02-27,2688.52
274,6,Marketing,Associate,2021-03-27,2562.85
275,6,Sales,Specialist,2015-04-17,1977.63
276,6,Sales,Senior Manager,2025-11-20,3507.72
277,6,IT,Manager,2015-01-18,2298.01
278,6,Sales,Associate,2023-12-09,2244.72
279,6,Finance,Associate,2023-12-22,1892.42
280,6,Operations,Associate,2016-09-05,1257.25
281,6,HR,Senior Manager,2019-06-09,3113.04
282,6,Sales,Supervisor,2021-08-19,1264.75
283,7,Operations,Supervisor,2025-02-21,3772.11
284,7,IT,Associate,2016-07-13,1713.52
285,7,Support,Associate,2025-01-23,1024.13
286,7,Support,Manager,2025-06-19,3724.05
287,7,Sales,Senior Manager,2015-04-07,3469.26
288,7,IT,Senior Manager,2022-05-02,3545.93
289,7,IT,Supervisor,2023-10-22,560.22
290,7,Marketing,Supervisor,2015-04-19,933.04
291,7,Marketing,Manager,2016-05-06,2339.26
292,7,HR,Manager,2025-09-11,1735.88
293,7,IT,Specialist,2016-09-24,3713.98
294,7,Sales,Associate,2021-04-27,704.66
295,7,HR,Senior Manager,2024-07-25,1543.36
296,7,IT,Supervisor,2022-08-08,1641.97
297,7,Support,Manager,2017-11-19,2663.25
298,7,Sales,Senior Manager,2019-04-23,696.25
299,7,Finance,Specialist,2021-12-26,2573.57
300,7,IT,Manager,2020-06-04,756.59
301,7,Finance,Manager,2020-05-04,893.9
302,7,Operations,Manager,2022-09-18,2166.68
303,7,Sales,Associate,2016-06-18,761.77
304,7,HR,Supervisor,2021-01-10,1836.26
305,7,Marketing,Associate,2023-04-19,2195.7
306,7,IT,Manager,2017-03-09,1458.79
307,7,Support,Specialist,2016-03-14,1374.47
308,7,Finance,Manager,2016-06-09,3613.14
309,7,IT,Manager,2024-10-07,1983.84
310,7,Operations,Supervisor,2015-07-11,3269.4
311,7,Support,Supervisor,2022-06-14,3181.84
312,7,Marketing,Senior Manager,2017-05-11,2470.76
313,7,IT,Specialist,2022-06-06,3681.32
314,7,Finance,Supervisor,2025-08-19,3069.61
315,7,Finance,Manager,2019-07-12,831.52
316,7,HR,Specialist,2024-09-06,2733.74
317,7,HR,Associate,2022-12-07,1918.82
318,7,Finance,Associate,2021-11-16,916.25
319,7,Finance,Specialist,2019-11-05,2846.04
320,7,Marketing,Manager,2016-08-20,2055.44
321,7,Support,Senior Manager,2023-12-14,2271.21
322,7,Marketing,Supervisor,2023-10-21,3513.24
323,7,Sales,Specialist,2025-11-12,1007.23
324,7,HR,Associate,2024-11-22,2616.59
325,7,Marketing,Supervisor,2021-02-01,780.33
326,7,Operations,Senior Manager,2023-09-19,2753.68
327,7,Operations,Manager,2020-07-15,3037.35
328,7,HR,Senior Manager,2017-06-01,2067.28
329,7,Finance,Manager,2016-02-27,3601.27
330,7,Operations,Supervisor,2019-06-15,3077.3
331,7,HR,Manager,2020-08-04,1917.86
332,7,IT,Manager,2020-02-10,599.69
333,7,IT,Associate,2015-06-21,816.36
334,7,Marketing,Specialist,2018-09-06,2298.9
335,7,Finance,Senior Manager,2021-08-08,3122.48
336,7,IT,Specialist,2017-11-22,1897.65
337,7,Sales,Senior Manager,2018-08-19,1889.0
338,7,Sales,Specialist,2018-05-25,2807.6
339,7,Marketing,Associate,2024-02-26,3371.13
340,7,Operations,Supervisor,2020-04-15,831.75
341,7,IT,Manager,2023-11-11,2449.85
342,7,HR,Manager,2024-02-12,1629.15
343,7,Support,Senior Manager,2017-11-23,3132.05
344,7,HR,Senior Manager,2016-11-05,1499.17
345,7,Operations,Supervisor,2016-03-12,2773.01
346,7,HR,Manager,2021-10-05,2375.6
347,8,Operations,Manager,2025-09-23,3529.19
348,8,Operations,Senior Manager,2017-08-10,919.99
349,8,Finance,Manager,2024-01-28,1652.78
350,8,Sales,Manager,2017-04-27,1736.21
351,8,HR,Senior Manager,2025-08-14,2743.73
352,8,Support,Manager,2022-03-03,2344.08
353,8,Marketing,Specialist,2019-01-09,1203.23
354,8,Finance,Specialist,2022-10-24,3038.03
355,8,Support,Senior Manager,2023-02-19,832.59
356,8,Marketing,Senior Manager,2020-09-27,2985.23
357,8,Marketing,Manager,2023-04-14,793.1
358,8,Marketing,Specialist,2019-01-15,1330.43
359,8,Marketing,Associate,2022-02-25,3169.83
360,8,Operations,Senior Manager,2020-12-20,2569.78
361,8,Operations,Senior Manager,2017-04-27,1143.26
362,8,Sales,Senior Manager,2020-09-09,2449.47
363,8,Operations,Supervisor,2019-05-19,1345.6
364,8,Marketing,Senior Manager,2025-02-05,3675.29
365,8,Marketing,Manager,2015-05-28,2647.25
366,8,IT,Specialist,2018-03-23,1529.02
367,8,Operations,Manager,2022-03-19,2568.55
368,8,IT,Manager,2021-08-03,2572.65
369,8,Marketing,Associate,2021-09-24,1382.06
370,8,Finance,Manager,2022-06-19,458.28
371,8,Marketing,Associate,2022-11-22,2785.92
372,8,Marketing,Associate,2023-07-07,3693.23
373,8,Marketing,Specialist,2022-05-11,3224.95
374,8,Finance,Senior Manager,2024-03-19,3305.62
375,8,Marketing,Supervisor,2025-01-02,783.58
376,8,Marketing,Manager,2015-02-28,979.24
377,8,Support,Associate,2021-04-23,3496.51
378,8,IT,Supervisor,2017-05-03,2642.87
379,8,Finance,Associate,2020-11-21,1004.51
380,8,Support,Supervisor,2018-07-21,755.52
381,8,Sales,Associate,2018-08-03,894.54
382,8,Operations,Senior Manager,2025-08-01,477.01
383,8,Finance,Associate,2021-12-05,2050.3
384,8,Operations,Manager,2016-12-26,793.13
385,8,Finance,Supervisor,2019-03-13,3041.09
386,8,Marketing,Specialist,2025-11-05,679.18
387,8,HR,Associate,2024-11-06,1924.33
388,8,IT,Specialist,2025-12-05,3531.65
389,8,HR,Manager,2018-02-04,919.04
390,8,Sales,Senior Manager,2021-06-14,1503.59
391,8,Operations,Specialist,2019-11-03,1281.36
392,8,HR,Senior Manager,2024-05-25,3603.29
393,8,Sales,Supervisor,2018-09-20,2156.9
394,9,Finance,Associate,2018-08-13,827.69
395,9,Support,Senior Manager,2016-09-01,3756.06
396,9,Finance,Specialist,2021-10-14,1674.13
397,9,IT,Specialist,2022-02-01,2417.67
398,9,Sales,Supervisor,2018-01-02,3628.08
399,9,Support,Senior Manager,2019-11-23,2128.51
400,9,Support,Manager,2021-02-21,2247.49
401,9,HR,Specialist,2019-02-10,714.72
402,9,Operations,Specialist,2023-06-13,2414.56
403,9,Marketing,Associate,2019-12-14,2895.36
404,9,Marketing,Specialist,2015-04-03,3547.5
405,9,Sales,Manager,2024-10-02,1486.12
406,9,IT,Specialist,2016-01-23,909.66
407,9,Sales,Specialist,2022-06-17,2182.7
408,9,Marketing,Supervisor,2017-06-05,2961.75
409,9,Marketing,Supervisor,2016-01-11,3153.81
410,9,Finance,Senior Manager,2016-05-23,3716.42
411,9,IT,Associate,2022-08-17,1656.42
412,9,Support,Senior Manager,2017-06-06,1304.64
413,9,Sales,Senior Manager,2025-12-04,1215.15
414,9,HR,Associate,2015-01-08,604.04
415,9,Finance,Manager,2017-03-28,568.47
416,9,Marketing,Manager,2018-06-08,1844.46
417,9,IT,Supervisor,2019-02-19,1698.91
418,9,HR,Associate,2017-04-26,2177.84
419,9,Sales,Manager,2016-08-28,1395.73
420,9,Marketing,Supervisor,2020-02-18,1980.1
421,9,Finance,Specialist,2019-10-26,1468.1
422,9,HR,Specialist,2022-06-19,3705.72
423,9,Marketing,Specialist,2023-04-05,471.37
424,9,Support,Associate,2018-09-12,2580.41
425,9,IT,Associate,2020-01-25,2651.97
426,9,Marketing,Supervisor,2016-04-17,3743.44
427,9,Support,Manager,2015-03-23,1387.41
428,9,Sales,Specialist,2023-07-23,3450.19
429,9,Support,Associate,2024-02-17,897.27
430,9,Marketing,Manager,2016-10-19,658.65
431,9,IT,Specialist,2018-05-09,3300.56
432,9,Marketing,Manager,2020-06-15,1361.05
433,9,Sales,Specialist,2017-10-04,970.63
434,9,Operations,Manager,2022-06-14,854.47
435,9,Finance,Specialist,2022-05-15,1337.78
436,9,Sales,Associate,2017-11-10,3218.4
